,nickname,url
0,Hawks,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/atl.png
1,Nets,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/bkn.png
2,Celtics,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/bos.png
3,Hornets,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/cha.png
4,Bulls,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/chi.png
5,Cavaliers,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/cle.png
6,Mavericks,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/dal.png
7,Nuggets,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/den.png
8,Pistons,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/det.png
9,Warriors,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/gsw.png
10,Rockets,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/hou.png
11,Pacers,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/ind.png
12,Clippers,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/lac.png
13,Lakers,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/lal.png
14,Grizzlies,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/mem.png
15,Heat,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/mia.png
16,Bucks,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/mil.png
17,Timberwolves,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/min.png
18,Pelicans,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/nop.png
19,Knicks,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/nyk.png
20,Thunder,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/okc.png
21,Magic,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/orl.png
22,76ers,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/phi.png
23,Suns,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/phx.png
24,Trailblazers,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/por.png
25,Kings,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/sac.png
26,Spurs,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/sas.png
27,Raptors,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/tor.png
28,Jazz,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/uta.png
29,Wizards,https://www.nba.com/.element/img/1.0/teamsites/logos/teamlogos_500x500/was.png
